gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FBXL20	425	169	303	255	101	129	214	471	392	316	296
FBXL21	0	0	0	2	0	0	3	0	1	0	0
FBXL22	142	82	239	211	161	170	209	254	37	32	36
FBXL3	638	614	363	397	106	146	205	522	597	425	599
FBXL4	268	222	209	119	39	57	106	178	135	111	190
FBXL5	1401	1940	1442	1275	317	418	515	1285	1359	1139	1591
FBXL6	467	388	442	287	209	361	336	324	736	558	640
FBXL7	408	189	445	464	505	243	461	635	179	180	132
FBXL8	54	71	44	20	62	35	43	45	43	43	51
FBXO10	221	123	194	196	199	195	225	245	97	102	131
FBXO11	1082	496	1110	823	271	408	452	879	720	604	771
FBXO15	8	3	4	3	0	1	5	4	2	3	1
FBXO16	25	6	10	5	5	15	13	8	2	9	6
FBXO17	558	760	962	759	783	959	685	360	211	165	136
FBXO18	1404	910	1284	1113	504	676	911	1390	1461	1287	1484
FBXO2	1042	1595	1414	1135	164	1999	613	132	703	271	749
FBXO21	1368	597	947	834	428	584	659	922	726	611	769
FBXO22	235	278	203	166	57	91	144	169	251	148	248
FBXO22-AS1	1	0	0	0	0	0	0	0	0	0	0
FBXO24	14	32	15	16	14	17	12	14	3	10	1
FBXO25	332	348	284	249	167	178	226	301	490	339	421
FBXO27	89	109	100	96	66	113	109	58	84	34	50
FBXO28	476	324	388	376	73	138	187	350	347	275	398
FBXO3	628	646	453	391	136	220	286	420	431	332	524
FBXO30	430	246	280	349	57	110	127	608	275	217	310
FBXO31	658	495	560	430	286	415	488	740	947	730	767
FBXO32	616	480	1100	600	502	382	592	2837	1176	1130	752
FBXO33	322	225	239	211	62	103	98	186	189	170	142
FBXO34	830	575	769	505	204	348	434	581	758	542	938
FBXO36	82	106	62	67	27	37	28	67	40	27	63
FBXO38	917	705	665	605	224	266	364	560	519	433	547
FBXO39	3	0	0	0	0	2	0	0	3	2	6
